C_tr,C_inf,Accuracy
1e+17,10000000000.0,0.0
1e+17,100000000000.0,0.0
1e+17,1000000000000.0,0.0
1e+17,10000000000000.0,0.0
1e+17,100000000000000.0,0.0
1e+17,1000000000000000.0,0.0
1e+17,1e+16,0.0
1e+17,1e+17,0.0
1e+17,1e+18,0.0
1e+17,1e+19,0.0
1e+17,1e+20,0.0
1e+17,1e+21,0.0
1e+17,1e+22,0.0
1e+17,1e+23,0.0
1e+17,1e+24,0.0
1e+17,1e+25,0.0
1e+19,10000000000.0,0.0
1e+19,100000000000.0,0.2655555555555561
1e+19,1000000000000.0,0.3155555555555564
1e+19,10000000000000.0,0.3411111111111121
1e+19,100000000000000.0,0.3555556710980218
1e+19,1000000000000000.0,0.3711111111111123
1e+19,1e+16,0.3844444444444457
1e+19,1e+17,0.4000000000000014
1e+19,1e+18,0.4122222222222237
1e+19,1e+19,0.4266666666666682
1e+19,1e+20,0.4411111111111128
1e+19,1e+21,0.4533333333333351
1e+19,1e+22,0.4677777777777796
1e+19,1e+23,0.481111111111113
1e+19,1e+24,0.4933333333333353
1e+19,1e+25,0.5077777777777794
1e+21,10000000000.0,0.0
1e+21,100000000000.0,0.0
1e+21,1000000000000.0,0.6344444444444406
1e+21,10000000000000.0,0.6577777777777729
1e+21,100000000000000.0,0.6766666666660038
1e+21,1000000000000000.0,0.691111111101924
1e+21,1e+16,0.7044444443333118
1e+21,1e+17,0.718888887323057
1e+21,1e+18,0.7311110969377056
1e+21,1e+19,0.7433331956881333
1e+21,1e+20,0.7566649916095184
1e+21,1e+21,0.7699818483336832
1e+21,1e+22,0.7820472672031431
1e+21,1e+23,0.792110750058448
1e+21,1e+24,0.7998187147848619
1e+21,1e+25,0.8111111956447579
1e+23,10000000000.0,0.0
1e+23,100000000000.0,0.0
1e+23,1000000000000.0,0.0
1e+23,10000000000000.0,0.9755555555555367
1e+23,100000000000000.0,0.993333333333314
1e+23,1000000000000000.0,0.9999999999999802
1e+23,1e+16,0.9999999999999802
1e+23,1e+17,0.9999999999999802
1e+23,1e+18,0.9999999999999802
1e+23,1e+19,0.9999999999999802
1e+23,1e+20,0.9999999999999802
1e+23,1e+21,0.9999999999999802
1e+23,1e+22,0.9999999999999802
1e+23,1e+23,0.9999999999999802
1e+23,1e+24,0.9999999999999802
1e+23,1e+25,0.9999999999999802
1e+25,10000000000.0,0.0
1e+25,100000000000.0,0.0
1e+25,1000000000000.0,0.0
1e+25,10000000000000.0,0.0
1e+25,100000000000000.0,0.995555555555536
1e+25,1000000000000000.0,0.9999999999999802
1e+25,1e+16,0.9999999999999802
1e+25,1e+17,0.9999999999999802
1e+25,1e+18,0.9999999999999802
1e+25,1e+19,0.9999999999999802
1e+25,1e+20,0.9999999999999802
1e+25,1e+21,0.9999999999999802
1e+25,1e+22,0.9999999999999802
1e+25,1e+23,0.9999999999999802
1e+25,1e+24,0.9999999999999802
1e+25,1e+25,0.9999999999999802
1e+18,10000000000.0,0.0
1e+18,100000000000.0,0.1022222222222219
1e+18,1000000000000.0,0.1555555555555554
1e+18,10000000000000.0,0.1860660113664358
1e+18,100000000000000.0,0.201158148984179
1e+18,1000000000000000.0,0.2155555549620365
1e+18,1e+16,0.2322222152228849
1e+18,1e+17,0.2466666027035083
1e+18,1e+18,0.2622215129882015
1e+18,1e+19,0.2766598149798589
1e+18,1e+20,0.2921429837347666
1e+18,1e+21,0.3049246735553327
1e+18,1e+22,0.3158746226506514
1e+18,1e+23,0.3255835909456338
1e+18,1e+24,0.3411111111111121
1e+18,1e+25,0.3544444444444455
1e+20,10000000000.0,0.0
1e+20,100000000000.0,0.4211111111111126
1e+20,1000000000000.0,0.4777777777777797
1e+20,10000000000000.0,0.5011111111111131
1e+20,100000000000000.0,0.5166666666666679
1e+20,1000000000000000.0,0.5311111111111118
1e+20,1e+16,0.5433333333333334
1e+20,1e+17,0.5577777777777773
1e+20,1e+18,0.57111111111111
1e+20,1e+19,0.5833333333333317
1e+20,1e+20,0.5966666666666645
1e+20,1e+21,0.6111111111111083
1e+20,1e+22,0.6222222222222189
1e+20,1e+23,0.6355555555555517
1e+20,1e+24,0.6499999999999955
1e+20,1e+25,0.6611111111111061
1e+22,10000000000.0,0.0
1e+22,100000000000.0,0.0
1e+22,1000000000000.0,0.7911111111111004
1e+22,10000000000000.0,0.8211111111110991
1e+22,100000000000000.0,0.8333333333333208
1e+22,1000000000000000.0,0.8466666666666536
1e+22,1e+16,0.8599999999999863
1e+22,1e+17,0.871111111111097
1e+22,1e+18,0.8833333333333186
1e+22,1e+19,0.8966666666666514
1e+22,1e+20,0.9099999999999842
1e+22,1e+21,0.9211111111110948
1e+22,1e+22,0.9322222222222054
1e+22,1e+23,0.9455555555555382
1e+22,1e+24,0.9588888888888708
1e+22,1e+25,0.9711111111110926
1e+24,10000000000.0,0.0
1e+24,100000000000.0,0.0
1e+24,1000000000000.0,0.0
1e+24,10000000000000.0,0.9911111111110916
1e+24,100000000000000.0,0.9999999999999802
1e+24,1000000000000000.0,0.9999999999999802
1e+24,1e+16,0.9999999999999802
1e+24,1e+17,0.9999999999999802
1e+24,1e+18,0.9999999999999802
1e+24,1e+19,0.9999999999999802
1e+24,1e+20,0.9999999999999802
1e+24,1e+21,0.9999999999999802
1e+24,1e+22,0.9999999999999802
1e+24,1e+23,0.9999999999999802
1e+24,1e+24,0.9999999999999802
1e+24,1e+25,0.9999999999999802
1e+26,10000000000.0,0.0
1e+26,100000000000.0,0.0
1e+26,1000000000000.0,0.0
1e+26,10000000000000.0,0.0
1e+26,100000000000000.0,0.9911111111110916
1e+26,1000000000000000.0,0.9999999999999802
1e+26,1e+16,0.9999999999999802
1e+26,1e+17,0.9999999999999802
1e+26,1e+18,0.9999999999999802
1e+26,1e+19,0.9999999999999802
1e+26,1e+20,0.9999999999999802
1e+26,1e+21,0.9999999999999802
1e+26,1e+22,0.9999999999999802
1e+26,1e+23,0.9999999999999802
1e+26,1e+24,0.9999999999999802
1e+26,1e+25,0.9999999999999802
5e+17,5000000000.0,0.0
5e+17,50000000000.0,0.0233333333333333
5e+17,500000000000.0,0.0955555555555553
5e+17,5000000000000.0,0.1322222179748097
5e+17,50000000000000.0,0.1522221530085462
5e+17,500000000000000.0,0.1699991731423682
5e+17,5000000000000000.0,0.1844381490338687
5e+17,5e+16,0.2021331642300298
5e+17,5e+17,0.2160517096041736
5e+17,5e+18,0.2275128609847959
5e+17,5e+19,0.2411124754049872
5e+17,5e+20,0.2544444444444449
5e+17,5e+21,0.2711111111111117
5e+17,5e+22,0.283333333333334
5e+17,5e+23,0.3011111111111119
5e+17,4.999999999999999e+24,0.3133333333333342
5e+18,5000000000.0,0.0
5e+18,50000000000.0,0.1922222222222223
5e+18,500000000000.0,0.2544444444444449
5e+18,5000000000000.0,0.2877777777777782
5e+18,50000000000000.0,0.3044444451720528
5e+18,500000000000000.0,0.3211111111110685
5e+18,5000000000000000.0,0.3344444444440524
5e+18,5e+16,0.3499999999952072
5e+18,5e+17,0.3622222221883617
5e+18,5e+18,0.3766666662900325
5e+18,5e+19,0.3911111070035505
5e+18,5e+20,0.4044444044927142
5e+18,5e+21,0.4199994494236344
5e+18,5e+22,0.4322180694678643
5e+18,5e+23,0.4455127641225771
5e+18,4.999999999999999e+24,0.4605306273613749
5e+19,5000000000.0,0.0
5e+19,50000000000.0,0.0
5e+19,500000000000.0,0.4188888888888904
5e+19,5000000000000.0,0.443333333333335
5e+19,50000000000000.0,0.4644444444444462
5e+19,500000000000000.0,0.481111111111113
5e+19,5000000000000000.0,0.4922222222222242
5e+19,5e+16,0.5066666666666684
5e+19,5e+17,0.5211111111111122
5e+19,5e+18,0.5333333333333339
5e+19,5e+19,0.5466666666666666
5e+19,5e+20,0.5611111111111104
5e+19,5e+21,0.5722222222222211
5e+19,5e+22,0.5855555555555538
5e+19,5e+23,0.5999999999999976
5e+19,4.999999999999999e+24,0.6122222222222193
5e+20,5000000000.0,0.0
5e+20,50000000000.0,0.0
5e+20,500000000000.0,0.5822222222222206
5e+20,5000000000000.0,0.6044444444444419
5e+20,50000000000000.0,0.6233333333314005
5e+20,500000000000000.0,0.6411111110329669
5e+20,5000000000000000.0,0.6533333326058257
5e+20,5e+16,0.6666666585718238
5e+20,5e+17,0.6811110006551307
5e+20,5e+18,0.6922214274487475
5e+20,5e+19,0.7055459026495191
5e+20,5e+20,0.7198690731091958
5e+20,5e+21,0.7302339898968241
5e+20,5e+22,0.7380417294345206
5e+20,5e+23,0.7477948477274441
5e+20,4.999999999999999e+24,0.7611111111111017
5e+21,5000000000.0,0.0
5e+21,50000000000.0,0.0
5e+21,500000000000.0,0.0
5e+21,5000000000000.0,0.7677777777777681
5e+21,50000000000000.0,0.7822222222222119
5e+21,500000000000000.0,0.7944444444444336
5e+21,5000000000000000.0,0.8077777777777664
5e+21,5e+16,0.8211111111110991
5e+21,5e+17,0.8322222222222098
5e+21,5e+18,0.8444444444444315
5e+21,5e+19,0.8577777777777642
5e+21,5e+20,0.871111111111097
5e+21,5e+21,0.8822222222222076
5e+21,5e+22,0.8933333333333182
5e+21,5e+23,0.906666666666651
5e+21,4.999999999999999e+24,0.9199999999999836
5e+22,5000000000.0,0.0
5e+22,50000000000.0,0.0
5e+22,500000000000.0,0.0
5e+22,5000000000000.0,0.9233333333333168
5e+22,50000000000000.0,0.942222222222205
5e+22,500000000000000.0,0.9566666666666488
5e+22,5000000000000000.0,0.9699999999999817
5e+22,5e+16,0.9822222222222032
5e+22,5e+17,0.9944444444444248
5e+22,5e+18,0.9999999999999802
5e+22,5e+19,0.9999999999999802
5e+22,5e+20,0.9999999999999802
5e+22,5e+21,0.9999999999999802
5e+22,5e+22,0.9999999999999802
5e+22,5e+23,0.9999999999999802
5e+22,4.999999999999999e+24,0.9999999999999802
5e+23,5000000000.0,0.0
5e+23,50000000000.0,0.0
5e+23,500000000000.0,0.0
5e+23,5000000000000.0,0.0
5e+23,50000000000000.0,0.9999999999999802
5e+23,500000000000000.0,0.9999999999999802
5e+23,5000000000000000.0,0.9999999999999802
5e+23,5e+16,0.9999999999999802
5e+23,5e+17,0.9999999999999802
5e+23,5e+18,0.9999999999999802
5e+23,5e+19,0.9999999999999802
5e+23,5e+20,0.9999999999999802
5e+23,5e+21,0.9999999999999802
5e+23,5e+22,0.9999999999999802
5e+23,5e+23,0.9999999999999802
5e+23,4.999999999999999e+24,0.9999999999999802
4.999999999999999e+24,5000000000.0,0.0
4.999999999999999e+24,50000000000.0,0.0
4.999999999999999e+24,500000000000.0,0.0
4.999999999999999e+24,5000000000000.0,0.0
4.999999999999999e+24,50000000000000.0,0.993333333333314
4.999999999999999e+24,500000000000000.0,0.9999999999999802
4.999999999999999e+24,5000000000000000.0,0.9999999999999802
4.999999999999999e+24,5e+16,0.9999999999999802
4.999999999999999e+24,5e+17,0.9999999999999802
4.999999999999999e+24,5e+18,0.9999999999999802
4.999999999999999e+24,5e+19,0.9999999999999802
4.999999999999999e+24,5e+20,0.9999999999999802
4.999999999999999e+24,5e+21,0.9999999999999802
4.999999999999999e+24,5e+22,0.9999999999999802
4.999999999999999e+24,5e+23,0.9999999999999802
4.999999999999999e+24,4.999999999999999e+24,0.9999999999999802
5e+25,5000000000.0,0.0
5e+25,50000000000.0,0.0
5e+25,500000000000.0,0.0
5e+25,5000000000000.0,0.0
5e+25,50000000000000.0,0.0
5e+25,500000000000000.0,0.9999999999999802
5e+25,5000000000000000.0,0.9999999999999802
5e+25,5e+16,0.9999999999999802
5e+25,5e+17,0.9999999999999802
5e+25,5e+18,0.9999999999999802
5e+25,5e+19,0.9999999999999802
5e+25,5e+20,0.9999999999999802
5e+25,5e+21,0.9999999999999802
5e+25,5e+22,0.9999999999999802
5e+25,5e+23,0.9999999999999802
5e+25,4.999999999999999e+24,0.9999999999999802
3e+18,30000000000.0,0.1277777777777774
3e+18,300000000000.0,0.2100000000000002
3e+18,3000000000000.0,0.2466666666666671
3e+18,30000000000000.0,0.2704036619569944
3e+18,300000000000000.0,0.2826644974230467
3e+18,3000000000000000.0,0.2944447696778025
3e+18,3e+16,0.3111111111111119
3e+18,3e+17,0.3233333333333342
3e+18,3e+18,0.3388888888888899
3e+18,3e+19,0.3522222222222233
3e+18,3e+20,0.3655555555555567
3e+18,3e+21,0.3811111111111124
3e+18,3e+22,0.3933333333333347
3e+18,2.9999999999999997e+23,0.4088888888888903
3e+18,3e+24,0.4222222222222238
3e+19,30000000000.0,0.0
3e+19,300000000000.0,0.3722222222222234
3e+19,3000000000000.0,0.4066666666666681
3e+19,30000000000000.0,0.4233333333333349
3e+19,300000000000000.0,0.4388888888888905
3e+19,3000000000000000.0,0.4522222222222239
3e+19,3e+16,0.4655555555555574
3e+19,3e+17,0.481111111111113
3e+19,3e+18,0.4933333333333353
3e+19,3e+19,0.5066666666666684
3e+19,3e+20,0.5211111111111122
3e+19,3e+21,0.5322222222222228
3e+19,3e+22,0.5455555555555556
3e+19,2.9999999999999997e+23,0.5611111111111104
3e+19,3e+24,0.5722222222222211
3e+20,30000000000.0,0.0
3e+20,300000000000.0,0.5411111111111113
3e+20,3000000000000.0,0.5633333333333326
3e+20,30000000000000.0,0.5844444444444428
3e+20,300000000000000.0,0.6011111111111087
3e+20,3000000000000000.0,0.6122222222222193
3e+20,3e+16,0.6266666666666632
3e+20,3e+17,0.641111111111107
3e+20,3e+18,0.6522222222222176
3e+20,3e+19,0.6644444444444393
3e+20,3e+20,0.6788888888888831
3e+20,3e+21,0.6911111111111048
3e+20,3e+22,0.7033333333333265
3e+20,2.9999999999999997e+23,0.7166666666666592
3e+20,3e+24,0.729999999999992
3e+21,30000000000.0,0.0
3e+21,300000000000.0,0.0
3e+21,3000000000000.0,0.7277777777777699
3e+21,30000000000000.0,0.7411111111111026
3e+21,300000000000000.0,0.7599994122369214
3e+21,3000000000000000.0,0.7733265107665375
3e+21,3e+16,0.7865799337960913
3e+21,3e+17,0.799884022287243
3e+21,3e+18,0.806538004142579
3e+21,3e+19,0.8166717447560047
3e+21,3e+20,0.8299999999999876
3e+21,3e+21,0.8411111111110983
3e+21,3e+22,0.85333333333332
3e+21,2.9999999999999997e+23,0.8666666666666527
3e+21,3e+24,0.8799999999999855
3e+22,30000000000.0,0.0
3e+22,300000000000.0,0.0
3e+22,3000000000000.0,0.8822222222222076
3e+22,30000000000000.0,0.9033333333333178
3e+22,300000000000000.0,0.9166666666666504
3e+22,3000000000000000.0,0.9299999999999832
3e+22,3e+16,0.941111111111094
3e+22,3e+17,0.9533333333333156
3e+22,3e+18,0.9655555555555372
3e+22,3e+19,0.9799999999999812
3e+22,3e+20,0.9911111111110916
3e+22,3e+21,0.9999999999999802
3e+22,3e+22,0.9999999999999802
3e+22,2.9999999999999997e+23,0.9999999999999802
3e+22,3e+24,0.9999999999999802
2.9999999999999997e+23,30000000000.0,0.0
2.9999999999999997e+23,300000000000.0,0.0
2.9999999999999997e+23,3000000000000.0,0.0
2.9999999999999997e+23,30000000000000.0,0.9999999999999802
2.9999999999999997e+23,300000000000000.0,0.9999999999999802
2.9999999999999997e+23,3000000000000000.0,0.9999999999999802
2.9999999999999997e+23,3e+16,0.9999999999999802
2.9999999999999997e+23,3e+17,0.9999999999999802
2.9999999999999997e+23,3e+18,0.9999999999999802
2.9999999999999997e+23,3e+19,0.9999999999999802
2.9999999999999997e+23,3e+20,0.9999999999999802
2.9999999999999997e+23,3e+21,0.9999999999999802
2.9999999999999997e+23,3e+22,0.9999999999999802
2.9999999999999997e+23,2.9999999999999997e+23,0.9999999999999802
2.9999999999999997e+23,3e+24,0.9999999999999802
3e+24,30000000000.0,0.0
3e+24,300000000000.0,0.0
3e+24,3000000000000.0,0.0
3e+24,30000000000000.0,0.9922222222222028
3e+24,300000000000000.0,0.9999999999999802
3e+24,3000000000000000.0,0.9999999999999802
3e+24,3e+16,0.9999999999999802
3e+24,3e+17,0.9999999999999802
3e+24,3e+18,0.9999999999999802
3e+24,3e+19,0.9999999999999802
3e+24,3e+20,0.9999999999999802
3e+24,3e+21,0.9999999999999802
3e+24,3e+22,0.9999999999999802
3e+24,2.9999999999999997e+23,0.9999999999999802
3e+24,3e+24,0.9999999999999802
3.0000000000000005e+25,30000000000.0,0.0
3.0000000000000005e+25,300000000000.0,0.0
3.0000000000000005e+25,3000000000000.0,0.0
3.0000000000000005e+25,30000000000000.0,0.0
3.0000000000000005e+25,300000000000000.0,0.9999999999999802
3.0000000000000005e+25,3000000000000000.0,0.9999999999999802
3.0000000000000005e+25,3e+16,0.9999999999999802
3.0000000000000005e+25,3e+17,0.9999999999999802
3.0000000000000005e+25,3e+18,0.9999999999999802
3.0000000000000005e+25,3e+19,0.9999999999999802
3.0000000000000005e+25,3e+20,0.9999999999999802
3.0000000000000005e+25,3e+21,0.9999999999999802
3.0000000000000005e+25,3e+22,0.9999999999999802
3.0000000000000005e+25,2.9999999999999997e+23,0.9999999999999802
3.0000000000000005e+25,3e+24,0.9999999999999802
4e+18,40000000000.0,0.1322222222222219
4e+18,400000000000.0,0.1511111111111109
4e+18,4000000000000.0,0.1655555555555554
4e+18,40000000000000.0,0.1822222222222222
