C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
3.8e+25,928598058850389.0,1000000000000000.0,0.1578437252743224,cot,225092573.5484551,825.0810270739495
3.8e+25,1010914827455000.8,1098541141987557.2,0.16838565492304822,cot,225092573.5484551,898.2213953294943
3.8e+25,1100666971545619.9,1206792640639326.5,0.17904080244097764,cot,225092573.5484551,977.9682680723204
3.8e+25,1197841822630315.8,1325711365590110.8,0.1905867000194193,cot,225092573.5484551,1064.31038905196
3.8e+25,1303479721862467.5,1456348477501244.5,0.20333724504403017,cot,225092573.5484551,1158.1721256404498
3.8e+25,1416935237746391.0,1599858719606057.2,0.21655770838015637,cot,225092573.5484551,1258.9799969045814
3.8e+25,1539272579034420.5,1757510624854789.5,0.22913124309349725,cot,225092573.5484551,1367.6795771345744
3.8e+25,1671800723936559.8,1930697728883253.5,0.2407891363278648,cot,225092573.5484551,1485.4339239909893
3.8e+25,1816446083585011.0,2120950887920192.5,0.25181207282640317,cot,225092573.5484551,1613.95469868222
3.8e+25,1973038843294546.8,2329951810515372.0,0.2623747613060346,cot,225092573.5484551,1753.091016900934
3.8e+25,2146175340072088.8,2559547922699533.0,0.2728246391285158,cot,225092573.5484551,1906.9268312489105
3.8e+25,2330655381988176.5,2811768697974225.0,0.2841680738885161,cot,225092573.5484551,2070.841649945828
3.8e+25,2537974152965324.0,3088843596477485.0,0.2973537318378066,cot,225092573.5484551,2255.049211935889
3.8e+25,2768265079790831.0,3393221771895329.5,0.31100350286249767,cot,225092573.5484551,2459.6680700306747
3.8e+25,3011272316808351.0,3727593720314938.0,0.3228685286067545,cot,225092573.5484551,2675.5856662326737
3.8e+25,3286760615762567.0,4094915062380419.0,0.33402610838123126,cot,225092573.5484551,2920.3634433146103
3.8e+25,3585760687859704.5,4498432668969453.0,0.34543595540217437,cot,225092573.5484551,3186.031979049551
3.8e+25,3931337459980538.0,4941713361323838.0,0.3556548956650138,cot,225092573.5484551,3493.084998767629
3.8e+25,4264254974187991.0,5428675439323859.0,0.3656999825755178,cot,225092573.5484551,3788.8899726583263
3.8e+25,4650246890436952.0,5963623316594637.0,0.37661292980880323,cot,225092573.5484551,4131.852790279557
3.8e+25,5120079330116470.0,6551285568595496.0,0.391202170041602,cot,225092573.5484551,4549.3098678480255
3.8e+25,5587726031165448.0,7196856730011529.0,0.40575809193468676,cot,225092573.5484551,4964.824865679181
3.8e+25,6146499840651085.0,7906043210907702.0,0.41635673619920044,cot,225092573.5484551,5461.308424134166
3.8e+25,6655877285299493.0,8685113737513520.0,0.4273807080906908,cot,225092573.5484551,5913.902160674084
3.8e+25,7305552366921039.0,9540954763499924.0,0.4392160653175175,cot,225092573.5484551,6491.153618933939
3.8e+25,8023002267189294.0,1.0481131341546832e+16,0.44839041721728656,cot,225092573.5484551,7128.624583842348
3.8e+25,8802244895118343.0,1.151395399326448e+16,0.45879226665397677,cot,225092573.5484551,7820.999828076076
