C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1.6999999999999937e+25,9486080878015344.0,1e+16,0.14180653433956147,cot,150554530.54181594,12601.52164651149
1.6999999999999937e+25,1.0111265014978636e+16,1.0730309405261566e+16,0.14958465851933606,cot,150554530.54181594,13432.030213358834
1.6999999999999937e+25,1.0773191658060796e+16,1.151395399326448e+16,0.1604980696930467,cot,150554530.54181594,14311.348345732556
1.6999999999999937e+25,1.1551758949028006e+16,1.2354828882567482e+16,0.16777648665640096,cot,150554530.54181594,15345.61451914534
1.6999999999999937e+25,1.2331527519060526e+16,1.3257113655901108e+16,0.17336549982769892,cot,150554530.54181594,16381.476498491014
1.6999999999999937e+25,1.3126662235010942e+16,1.422529313485372e+16,0.18229142180719268,cot,150554530.54181594,17437.75120917409
1.6999999999999937e+25,1.414317151121391e+16,1.5264179671752366e+16,0.18854611398584373,cot,150554530.54181594,18788.104828616495
1.6999999999999937e+25,1.511904883165502e+16,1.637893706954068e+16,0.1980872073538399,cot,150554530.54181594,20084.482050781942
1.6999999999999937e+25,1.6068675108625926e+16,1.7575106248547966e+16,0.21177008239716233,cot,150554530.54181594,21345.98680066013
1.6999999999999937e+25,1.720322243225627e+16,1.8858632787726556e+16,0.2212345128237205,cot,150554530.54181594,22853.144797895195
1.6999999999999937e+25,1.8313905447444356e+16,2.023589647725164e+16,0.23168161423478154,cot,150554530.54181594,24328.600914945884
1.6999999999999937e+25,1.9756677796059544e+16,2.1713743029375264e+16,0.23677993087871943,cot,150554530.54181594,26245.211917514767
1.6999999999999937e+25,2.1013937460613764e+16,2.3299518105153816e+16,0.24804158186378872,cot,150554530.54181594,27915.383728392317
1.6999999999999937e+25,2.246335974197544e+16,2.5001103826179204e+16,0.2578502007260322,cot,150554530.54181594,29840.828650103394
1.6999999999999937e+25,2.4080147268879124e+16,2.6826957952797164e+16,0.2613832413573019,cot,150554530.54181594,31988.605300975592
1.6999999999999937e+25,2.5944257759518964e+16,2.8786155923545596e+16,0.2711190554547641,cot,150554530.54181594,34464.93129917873
1.6999999999999937e+25,2.7622564093612396e+16,3.0888435964774724e+16,0.2783092620616403,cot,150554530.54181594,36694.430907132795
1.6999999999999937e+25,2.9588535053267984e+16,3.314424749466418e+16,0.2845048385389959,cot,150554530.54181594,39306.0706267486
1.6999999999999937e+25,3.1488782387594656e+16,3.5564803062231212e+16,0.29935964570890183,cot,150554530.54181594,41830.401614979986
