C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1e+25,9999999999999.959,10000000000000.0,0.0,cot,115470053.83792515,17.320508075688704
1e+25,12012780991454.928,12012780991454.914,0.0,cot,115470053.83792515,20.806747017397566
1e+25,14430690714865.975,14430690714865.992,0.0,cot,115470053.83792515,24.994689506460315
1e+25,17335272711310.66,17335272711310.713,0.0,cot,115470053.83792515,30.025573099052355
1e+25,20824483450811.97,20824483450812.043,0.0,cot,115470053.83792515,36.0690633781836
1e+25,25015995895478.285,25015995895478.234,0.0,cot,115470053.83792515,43.32897589290289
1e+25,30051167997551.418,30051167997551.387,0.0,cot,115470053.83792515,52.05014979854694
1e+25,36099809969200.266,36099809969200.36,0.0,cot,115470053.83792515,62.52670501023634
1e+25,43365911099314.5,43365911099314.47,0.0,cot,115470053.83792515,75.11196134052783
1e+25,52094519253096.44,52094519253096.64,0.0,cot,115470053.83792515,90.23035414223813
1e+25,62580005064258.164,62580005064258.14,0.0,cot,115470053.83792515,108.39174830921279
1e+25,75175989528107.16,75175989528107.25,0.0,cot,115470053.83792515,130.20863337194749
1e+25,90307269801705.67,90307269801705.67,0.0,cot,115470053.83792515,156.41677958938482
1e+25,108484145406411.6,108484145406412.03,0.0,cot,115470053.83792515,187.90005165959474
1e+25,130319627981237.53,130319627981237.75,0.0,cot,115470053.83792515,225.72021688697816
1e+25,156550114982648.78,156550114982648.88,0.0,cot,115470053.83792515,271.15275308069744
1e+25,188060224547363.53,188060224547363.8,0.0,cot,115470053.83792515,325.72986379884543
1e+25,225912629069131.72,225912629069131.47,0.0,cot,115470053.83792515,391.29215161919785
1e+25,271383893621127.56,271383893621126.75,0.0,cot,115470053.83792515,470.0506921076603
1e+25,326007527867888.3,326007527867889.44,0.0,cot,115470053.83792515,564.6616019171094
1e+25,391625703384258.25,391625703384257.44,0.0,cot,115470053.83792515,678.3156158114342
1e+25,470451380537956.3,470451380537956.8,0.0,cot,115470053.83792515,814.8456935826605
1e+25,565142940153010.4,565142940153009.0,0.0,cot,115470053.83792515,978.8562858838715
1e+25,678893836892500.1,678893836892498.1,0.0,cot,115470053.83792515,1175.8786184431885
1e+25,815540297903810.9,815540297903809.5,0.0,cot,115470053.83792515,1412.5572315892584
1e+25,979690698842433.9,979690698842436.1,0.0,cot,115470053.83792515,1696.8740660977555
1e+25,1176880980455953.5,1176880980455955.0,0.0,cot,115470053.83792515,2038.4176526111864
1e+25,1413761347122612.2,1413761347122611.8,0.0,cot,115470053.83792515,2448.7064829933847
1e+25,1698320543716823.5,1698320543716820.5,0.0,cot,115470053.83792515,2941.577469255539
1e+25,2040155274495875.0,2040155274495871.2,8.547216360580479e-41,cot,115470053.83792515,3533.6525907564856
1e+25,2450793850108056.5,2450793850108048.5,4.730044644956761e-20,cot,115470053.83792515,4244.899467264498
1e+25,2944084977655259.0,2944084977655257.0,8.39001930138806e-10,cot,115470053.83792515,5099.304763099191
1e+25,3536664805680492.0,3536664805680504.0,0.00013884717977070263,cot,115470053.83792515,6125.683132779323
1e+25,4246954734209385.5,4248517975082634.5,0.005512190504583996,cot,115470053.83792515,7355.941377095833
1e+25,5096535540690828.0,5103651597292699.0,0.006497018819543046,cot,115470053.83792515,8827.458499057035
1e+25,6116265957685077.0,6130904889496625.0,0.010960807523806506,cot,115470053.83792515,10593.683391314471
1e+25,7334256646609431.0,7364921771696304.0,0.013222564185346869,cot,115470053.83792515,12703.305147677273
1e+25,8787599717402905.0,8847319226258546.0,0.025732595274370426,cot,115470053.83792515,15220.569187119741
1e+25,1.0517930882063536e+16,1.062809082265327e+16,0.03217052262595455,cot,115470053.83792515,18217.590678231783
1e+25,1.2605134174028716e+16,1.276729274098251e+16,0.044451663282655006,cot,115470053.83792515,21832.732825640494
1e+25,1.504920645092257e+16,1.5337069155121438e+16,0.05266601551409106,cot,115470053.83792515,26065.9901865912
1e+25,1.7972374752773122e+16,1.8424085281127304e+16,0.07680629623329409,cot,115470053.83792515,31129.06620447119
1e+25,2.1521197858558732e+16,2.2132450145006944e+16,0.09510106939310223,cot,115470053.83792515,37275.80813076625
1e+25,2.5564056332043096e+16,2.658722763962619e+16,0.12238031941927827,cot,115470053.83792515,44278.24441465152
1e+25,3.0428135498016944e+16,3.193865428047875e+16,0.14357538534593595,cot,115470053.83792515,52703.07666215548
1e+25,3.6236373554806536e+16,3.8367205903318376e+16,0.16868761030361917,cot,115470053.83792515,62763.24007897017
1e+25,4.302634540728302e+16,4.6089684177061784e+16,0.18762391069834192,cot,115470053.83792515,74523.81630942202
1e+25,5.14420569322882e+16,5.536652819843705e+16,0.21430012362351952,cot,115470053.83792515,89100.25625257395
1e+25,6.12496231039675e+16,6.651059775050343e+16,0.23456716141292408,cot,115470053.83792515,106087.4591605163
1e+25,7.360306929478424e+16,7.989772443875483e+16,0.2597389718279302,cot,115470053.83792515,127484.25561157911
1e+25,8.690232015260554e+16,9.597938653983808e+16,0.27918203129998503,cot,115470053.83792515,150519.23379992956
1e+25,1.0398962996800826e+17,1.152979350197266e+17,0.3052477440438987,cot,115470053.83792515,180115.32256487745
1e+25,1.2466706741130934e+17,1.3850488421589698e+17,0.3254589173643812,cot,115470053.83792515,215929.69478700202
1e+25,1.4843529540577258e+17,1.6638288403323978e+17,0.3506493506254201,cot,115470053.83792515,257097.47327929328
1e+25,1.7593352867927232e+17,1.998721146617942e+17,0.37012978573369637,cot,115470053.83792515,304725.8104273759
1e+25,2.113701641093731e+17,2.401019939731089e+17,0.3961209724680917,cot,115470053.83792515,366103.8634416058
1e+25,2.5252322166620058e+17,2.8842926692105965e+17,0.4160202322327016,cot,115470053.83792515,437383.05001683737
1e+25,2.9880893097954125e+17,3.464837615048567e+17,0.44155844155844165,cot,115470053.83792515,517552.2502119074
1e+25,3.5556910411581466e+17,4.1622335440533235e+17,0.4610389610380107,cot,115470053.83792515,615863.753930339
1e+25,4.2896855786047296e+17,4.9999999999999994e+17,0.48701354028833116,cot,115470053.83792515,742995.3370638889
1.0985411419875618e+25,9999999999999.959,10000000000000.0,0.0,cot,121025680.02907823,16.5254184030981
1.0985411419875618e+25,12012780991454.928,12012780991454.914,0.0,cot,121025680.02907823,19.851623206857717
1.0985411419875618e+25,14430690714865.975,14430690714865.992,0.0,cot,121025680.02907823,23.84732019088641
1.0985411419875618e+25,17335272711310.66,17335272711310.713,0.0,cot,121025680.02907823,28.64726346862187
1.0985411419875618e+25,20824483450811.97,20824483450812.043,0.0,cot,121025680.02907823,34.41333020530614
1.0985411419875618e+25,25015995895478.285,25015995895478.234,0.0,cot,121025680.02907823,41.33997989429652
1.0985411419875618e+25,30051167997551.418,30051167997551.387,0.0,cot,121025680.02907823,49.6608124661331
1.0985411419875618e+25,36099809969200.266,36099809969200.36,0.0,cot,121025680.02907823,59.65644640133689
1.0985411419875618e+25,43365911099314.5,43365911099314.47,0.0,cot,121025680.02907823,71.66398253477311
1.0985411419875618e+25,52094519253096.44,52094519253096.64,0.0,cot,121025680.02907823,86.08837271656718
1.0985411419875618e+25,62580005064258.164,62580005064258.14,0.0,cot,121025680.02907823,103.41607673548685
1.0985411419875618e+25,75175989528107.16,75175989528107.25,0.0,cot,121025680.02907823,124.23146808188974
1.0985411419875618e+25,90307269801705.67,90307269801705.67,0.0,cot,121025680.02907823,149.23654183146587
1.0985411419875618e+25,108484145406411.6,108484145406412.03,0.0,cot,121025680.02907823,179.2745892943492
1.0985411419875618e+25,130319627981237.53,130319627981237.75,0.0,cot,121025680.02907823,215.35863785260503
1.0985411419875618e+25,156550114982648.78,156550114982648.88,0.0,cot,121025680.02907823,258.7056151141399
1.0985411419875618e+25,188060224547363.53,188060224547363.8,0.0,cot,121025680.02907823,310.7773895625776
1.0985411419875618e+25,225912629069131.72,225912629069131.47,0.0,cot,121025680.02907823,373.330071791132
1.0985411419875618e+25,271383893621127.56,271383893621126.75,0.0,cot,121025680.02907823,448.4732389951017
1.0985411419875618e+25,326007527867888.3,326007527867889.44,0.0,cot,121025680.02907823,538.7410800576541
1.0985411419875618e+25,391625703384258.25,391625703384257.44,0.0,cot,121025680.02907823,647.1778605832487
1.0985411419875618e+25,470451380537956.3,470451380537956.8,0.0,cot,121025680.02907823,777.4405901704883
1.0985411419875618e+25,565142940153010.4,565142940153009.0,0.0,cot,121025680.02907823,933.9223543585566
1.0985411419875618e+25,678893836892500.1,678893836892498.1,0.0,cot,121025680.02907823,1121.900470593325
1.0985411419875618e+25,815540297903810.9,815540297903809.5,0.0,cot,121025680.02907823,1347.7144647447801
1.0985411419875618e+25,979690698842433.9,979690698842436.1,0.0,cot,121025680.02907823,1618.9798703994863
1.0985411419875618e+25,1176880980455953.5,1176880980455955.0,0.0,cot,121025680.02907823,1944.8450612683032
1.0985411419875618e+25,1413761347122612.2,1413761347122611.8,0.0,cot,121025680.02907823,2336.299778332888
1.0985411419875618e+25,1698320543716823.5,1698320543716820.5,0.0,cot,121025680.02907823,2806.5457567497688
1.0985411419875618e+25,2040155274495875.0,2040155274495871.2,0.0,cot,121025680.02907823,3371.441951833194
1.0985411419875618e+25,2450793850108056.5,2450793850108048.5,7.55910104351577e-24,cot,121025680.02907823,4050.03937927755
1.0985411419875618e+25,2944084977655259.0,2944084977655257.0,7.183194232193149e-12,cot,121025680.02907823,4865.2236070029085
1.0985411419875618e+25,3536664805680492.0,3536664805680504.0,1.580834629467254e-05,cot,121025680.02907823,5844.486566538202
1.0985411419875618e+25,4248206856306430.0,4248517975082634.5,0.003884791034381066,cot,121025680.02907823,7020.33957633741
1.0985411419875618e+25,5097787662787872.0,5103651597292699.0,0.006490620494886007,cot,121025680.02907823,8424.307405772151
1.0985411419875618e+25,6118370479068382.0,6130904889496625.0,0.0085719871895065,cot,121025680.02907823,10110.86321117692
1.0985411419875618e+25,7337383192491223.0,7364921771696304.0,0.012993621939145316,cot,121025680.02907823,12125.332723977766
1.0985411419875618e+25,8795782846917325.0,8847319226258546.0,0.023909469410827253,cot,121025680.02907823,14535.39917281028
1.0985411419875618e+25,1.0529233039451732e+16,1.062809082265327e+16,0.030343450810873935,cot,121025680.02907823,17399.998144066496
1.0985411419875618e+25,1.2624494683775632e+16,1.276729274098251e+16,0.039668390386009326,cot,121025680.02907823,20862.505677708086
1.0985411419875618e+25,1.5073689693019918e+16,1.5337069155121438e+16,0.05151252869472987,cot,121025680.02907823,24909.902905562256
1.0985411419875618e+25,1.8017179980303324e+16,1.8424085281127304e+16,0.07234676417871407,cot,121025680.02907823,29774.143761843654
1.0985411419875618e+25,2.1589941424619972e+16,2.2132450145006944e+16,0.09047954507341853,cot,121025680.02907823,35678.281534022644
1.0985411419875618e+25,2.566868112147171e+16,2.658722763962619e+16,0.11414756309165495,cot,121025680.02907823,42418.56953880272
1.0985411419875618e+25,3.057498381349559e+16,3.193865428047875e+16,0.14153269337942107,cot,121025680.02907823,50526.44001859688
1.0985411419875618e+25,3.612413003991012e+16,3.8367205903318376e+16,0.16455543659695993,cot,121025680.02907823,59696.636335744224
1.0985411419875618e+25,4.328897321383915e+16,4.6089684177061784e+16,0.18225776409530953,cot,121025680.02907823,71536.83945992013
1.0985411419875618e+25,5.1341352520989816e+16,5.536652819843705e+16,0.207279691290946,cot,121025680.02907823,84843.73317903158
1.0985411419875618e+25,6.136144385931218e+16,6.651059775050343e+16,0.23364395274258132,cot,121025680.02907823,101402.35335933526
1.0985411419875618e+25,7.382126628820922e+16,7.989772443875483e+16,0.2567987193653686,cot,121025680.02907823,121992.73124591832
1.0985411419875618e+25,8.745879374755704e+16,9.597938653983808e+16,0.27340105936134185,cot,121025680.02907823,144529.3159708646
1.0985411419875618e+25,1.0410906869462042e+17,1.152979350197266e+17,0.3002150303586399,cot,121025680.02907823,172044.5919735492
1.0985411419875618e+25,1.244978417449122e+17,1.3850488421589698e+17,0.32467491440706764,cot,121025680.02907823,205737.89251173756
1.0985411419875618e+25,1.4935067068926006e+17,1.6638288403323978e+17,0.34908028364057764,cot,121025680.02907823,246808.2321923353
1.0985411419875618e+25,1.758807365262936e+17,1.998721146617942e+17,0.3643526835692463,cot,121025680.02907823,290650.2760142073
1.0985411419875618e+25,2.108734970637467e+17,2.401019939731089e+17,0.3925927847210034,cot,121025680.02907823,348477.27691029076
1.0985411419875618e+25,2.538986955915179e+17,2.8842926692105965e+17,0.4155844155826698,cot,121025680.02907823,419578.21766506904
1.0985411419875618e+25,3.0067718123700186e+17,3.464837615048567e+17,0.44083501880123693,cot,121025680.02907823,496881.6224205634
1.0985411419875618e+25,3.566913375934252e+17,4.1622335440533235e+17,0.4549554318459992,cot,121025680.02907823,589447.3594492092
1.0985411419875618e+25,4.3103789850845875e+17,4.9999999999999994e+17,0.48228689375397565,cot,121025680.02907823,712308.1620444446
1.2067926406393264e+25,9999999999999.959,10000000000000.0,0.0,cot,126848604.80847901,15.766826943186881
1.2067926406393264e+25,12012780991454.928,12012780991454.914,0.0,cot,126848604.80847901,18.940343899867557
